753|714|1349|chrome|1
749|719|1349|chrome|1
975|29|1349|chrome|1
755|364|1349|chrome|1
764|482|1349|chrome|1
738|425|1349|chrome|1
738|446|1349|chrome|1
754|356|1349|chrome|1
736|440|1349|chrome|1
753|511|1349|chrome|1
744|582|1349|chrome|1
750|650|1349|chrome|1
1018|435|1903|chrome|1
1034|511|1903|chrome|1
899|724|1349|chrome|1
1037|348|1903|chrome|1
888|715|1349|chrome|1
845|638|1349|chrome|1
1020|512|1903|chrome|1
1029|305|1903|chrome|1
1018|250|1903|chrome|1
1018|250|1903|chrome|1
1021|429|1903|chrome|1
1021|515|1903|chrome|1
1017|376|1903|chrome|1
897|690|1349|chrome|1
592|346|1007|chrome|1
834|725|1349|chrome|1
93|46|320|chrome|1
493|419|1349|chrome|1
887|723|1349|chrome|1
491|419|1349|chrome|1
579|429|1007|chrome|1
759|359|1349|chrome|1
738|445|1349|chrome|1
747|510|1349|chrome|1
745|577|1349|chrome|1
650|30|1007|chrome|1
357|191|1007|chrome|1
863|694|1007|chrome|1
715|371|1349|chrome|1
750|458|1349|chrome|1
759|522|1349|chrome|1
736|373|1349|chrome|1
741|245|1349|chrome|1
476|264|899|chrome|1
210|735|360|chrome|1
480|352|899|chrome|1
498|269|899|chrome|1
485|269|899|chrome|1
477|325|899|chrome|1
475|481|899|chrome|1
537|555|899|chrome|1
269|53|1349|chrome|3
902|692|1349|chrome|1
852|686|1349|chrome|1
750|367|1349|chrome|1
750|292|1349|chrome|1
759|585|1349|chrome|1
738|306|1349|chrome|1
735|303|1349|chrome|1
476|83|1349|chrome|3
824|702|1280|safari|1
814|663|1280|safari|1
464|21|1280|safari|1
614|20|1280|safari|1
596|58|1280|safari|1
766|107|1280|safari|1
687|29|1280|safari|1
675|23|1280|safari|1
947|635|1349|chrome|1
538|435|1349|chrome|1
714|419|1349|chrome|1
546|470|1349|chrome|1
751|454|1349|chrome|1
898|467|1349|chrome|1
761|426|1349|chrome|1
702|423|1349|chrome|1
690|425|1349|chrome|1
561|498|1349|chrome|1
756|506|1349|chrome|1
630|551|1349|chrome|1
595|530|1349|chrome|1
889|669|1349|chrome|1
891|611|1280|safari|1
881|514|1280|safari|1
859|620|1280|safari|1
886|517|1280|safari|1
897|614|1280|safari|1
701|613|1280|safari|1
859|650|1280|safari|1
628|687|1280|safari|1
852|686|1280|safari|1
818|858|1280|safari|1
833|703|1280|safari|1
893|659|1280|safari|1
884|549|1280|safari|1
927|16|1280|safari|1
904|63|1280|safari|1
1096|28|1280|safari|1
850|610|1280|safari|1
678|512|1280|safari|1
845|539|1280|safari|1
819|753|1280|safari|1
804|578|1423|chrome|1
1005|16|1423|chrome|1
887|862|1423|chrome|1
1163|647|1903|chrome|1
717|449|1263|chrome|1
696|311|1263|chrome|1
846|641|1263|chrome|1
866|618|1204|firefox|1
295|365|320|safari|1
299|378|320|safari|1
899|634|1204|firefox|1
915|366|1665|chrome|1
892|430|1665|chrome|1
709|452|1279|chrome|1
709|452|1279|chrome|1
1304|23|1903|chrome|1
1322|677|1903|chrome|1
1249|392|1903|chrome|1
1261|376|1903|chrome|1
1222|391|1903|chrome|1
1293|642|1903|chrome|1
