114|410|1349|chrome|1
114|410|1349|chrome|1
329|362|1349|chrome|1
692|405|1349|chrome|1
1004|19|1349|chrome|1
69|305|1349|chrome|1
538|414|1349|chrome|1
302|395|1226|chrome|1
1067|27|1349|chrome|1
334|374|1349|chrome|1
1022|27|1349|chrome|1
1042|10|1349|chrome|1
253|356|1349|chrome|1
349|305|1349|chrome|1
674|478|1349|chrome|1
207|350|1263|chrome|1
395|694|1263|chrome|1
1005|0|1284|chrome|1
464|87|1284|chrome|1
562|82|1349|chrome|1
307|369|1343|chrome|1
477|81|1349|chrome|1
432|373|1583|chrome|3
609|404|1583|chrome|3
975|386|1583|chrome|3
1160|361|1583|chrome|1
547|370|1868|safari|1
565|362|1868|safari|1
982|598|1263|firefox|1
1023|360|1263|firefox|1
270|366|1263|firefox|1
360|363|1903|chrome|1
116|476|1903|chrome|1
227|373|1903|chrome|2
241|3383|1903|chrome|2
311|25|320|safari|1
120|1304|320|safari|1
1081|11|1583|chrome|1
1001|363|1583|chrome|1
329|207|768|safari|1
666|21|768|safari|1
507|367|1349|chrome|1
69|18|768|safari|1
180|246|768|safari|1
447|384|1349|chrome|1
246|382|1349|chrome|1
408|398|1600|chrome|1
610|610|1583|chrome|1
294|368|1349|chrome|1
448|431|1349|chrome|1
198|398|1138|unknown|1
939|371|1138|unknown|1
853|23|1138|unknown|1
928|86|1138|unknown|1
1017|20|1138|unknown|1
198|365|1138|unknown|1
464|338|1265|firefox|1
502|88|1265|firefox|1
995|511|1265|firefox|1
346|88|1265|firefox|1
280|376|1349|chrome|1
645|659|1193|chrome|2
438|3329|1193|chrome|2
485|3486|1193|chrome|2
202|319|1193|chrome|1
315|338|1349|chrome|1
460|370|1259|safari|1
267|363|1259|safari|1
104|334|320|safari|1
82|354|320|safari|1
94|329|320|safari|1
966|366|1182|chrome|1
268|415|1349|chrome|1
342|398|1349|chrome|1
571|1319|1349|chrome|1
61|1294|1349|chrome|1
714|335|1349|chrome|1
253|411|1349|chrome|1
1024|606|1349|chrome|1
515|680|1349|chrome|1
553|3315|1349|chrome|3
552|3478|1349|chrome|1
234|423|1263|chrome|1
618|383|1263|chrome|1
467|338|1680|chrome|1
221|342|360|chrome|1
935|26|1263|chrome|1
297|396|1280|chrome|1
805|17|1263|chrome|1
801|111|1263|chrome|1
897|647|1349|chrome|2
850|396|1349|chrome|2
522|381|1349|chrome|1
343|398|1680|chrome|1
441|374|1680|chrome|1
538|82|1349|chrome|1
660|79|1663|chrome|1
490|363|1349|chrome|1
274|326|1349|chrome|1
346|355|1349|chrome|1
326|328|1349|chrome|1
860|442|1349|chrome|2
481|455|1349|chrome|2
853|650|1349|chrome|2
1026|430|1349|chrome|2
301|353|1349|chrome|3
309|606|1349|chrome|3
1050|586|1349|chrome|3
1019|18|1349|chrome|1
415|82|1349|chrome|1
287|390|1349|chrome|3
667|383|1349|chrome|3
133|280|360|chrome|1
500|1442|1349|chrome|1
462|358|1349|firefox|2
875|434|1349|firefox|2
458|634|1349|firefox|2
177|488|1007|chrome|1
309|356|1349|chrome|1
807|21|1007|chrome|1
807|21|1007|chrome|1
126|272|320|safari|1
118|468|320|safari|1
256|259|320|safari|1
992|382|1583|chrome|1
424|871|1583|chrome|1
247|394|1263|chrome|1
562|401|1423|firefox|3
903|414|1423|firefox|3
750|1477|1423|firefox|1
440|551|1349|msie|1
680|699|1349|msie|1
445|845|1349|msie|1
1079|368|1349|msie|1
488|839|1349|msie|1
298|372|1349|msie|1
466|839|1349|msie|1
1074|386|1349|msie|1
438|844|1349|msie|1
246|581|1349|msie|1
453|352|1237|chrome|1
421|604|1349|msie|1
469|364|1349|firefox|1
881|37|1237|chrome|1
1028|27|1237|chrome|1
436|327|1237|chrome|1
314|356|1349|chrome|1
322|348|1349|firefox|1
492|379|1237|safari|1
732|22|1349|msie|1
270|389|1237|safari|1
415|391|1583|chrome|1
958|13|1349|chrome|1
454|483|1349|chrome|1
969|25|1349|chrome|1
350|384|1349|chrome|1
86|261|360|chrome|1
960|18|1349|chrome|1
378|79|1349|chrome|1
650|26|1349|chrome|1
653|19|1349|chrome|1
649|58|1349|chrome|1
488|540|1349|msie|1
1080|341|1349|msie|1
860|403|1349|chrome|1
1056|408|1349|chrome|1
884|421|1349|chrome|1
269|396|1349|chrome|1
886|396|1349|chrome|1
482|448|1349|chrome|1
285|348|1349|chrome|1
299|389|1349|chrome|1
472|81|1343|chrome|1
430|413|1264|chrome|1
223|348|1264|chrome|1
941|10|1264|chrome|1
1084|11|1264|chrome|1
966|21|1264|chrome|1
264|421|1264|chrome|1
298|438|1349|chrome|1
532|1255|1349|chrome|1
788|378|1583|chrome|1
604|672|1583|chrome|1
821|13|1007|chrome|1
321|460|1007|chrome|1
335|379|1349|chrome|1
347|365|1343|chrome|1
283|338|1349|chrome|1
63|18|768|safari|1
135|95|768|safari|1
207|294|768|safari|1
